old_url,redirect_target,redirect_type,final_status,notes
https://www.blancareal.com/,https://blancareal.com/es/,301,ready_to_launch,Updated during VPS cutover once the public homepage was confirmed as /es/.
https://www.blancareal.com/5-reasons-invest-costa-del-sol-given-instability-middle-east/,https://blancareal.com/en/post/5-reasons-invest-costa-del-sol-given-instability-middle-east/,301,ready_to_launch,Validated against a live route in the new site.
https://www.blancareal.com/contact/,https://blancareal.com/en/contact/,301,ready_to_launch,Validated against a live route in the new site.
https://www.blancareal.com/de/steuern-haus-kaufen-spanien/,https://blancareal.com/de/post/steuern-zahlen-costa-del-sol-immobilie/,301,ready_to_launch,Matched to the live German version of the current taxes guide.
https://www.blancareal.com/dorronsoro-architeture-firm-behind-calahonda-sunset/,https://blancareal.com/en/post/dorronsoro-architects-behind-calahonda-sunset/,301,ready_to_launch,Validated against a live route in the new site.
https://www.blancareal.com/es/comercializacion-inmobiliaria-costa-del-sol/,https://blancareal.com/es/commercialization/,301,ready_to_launch,Validated against a live route in the new site.
https://www.blancareal.com/es/gastos-comprar-piso-en-malaga/,https://blancareal.com/es/post/impuestos-pagar-propiedad-costa-del-sol/,301,ready_to_launch,Matched to the live Spanish version of the current taxes guide.
https://www.blancareal.com/es/sell-your-property/,https://blancareal.com/es/sell-with-us/,301,ready_to_launch,Validated against a live route in the new site.
https://www.blancareal.com/faqs/,https://blancareal.com/en/contact/,301,ready_with_accepted_fallback,fallback chosen manually during migration planning; create a more specific landing later if needed
https://www.blancareal.com/fr/impots-achat-maison-en-espagne/,https://blancareal.com/fr/post/taxes-payer-propriete-costa-del-sol/,301,ready_to_launch,Matched to the live French version of the current taxes guide.
https://www.blancareal.com/how-can-i-legally-rent-my-property-to-tourists-in-andalusia/,https://blancareal.com/en/post/rent-your-home-to-tourists-andalucia/,301,ready_to_launch,Validated against a live route in the new site.
https://www.blancareal.com/it/tasse-comprare-casa-in-spagna/,https://blancareal.com/it/post/tasse-pagare-proprieta-costa-del-sol/,301,ready_to_launch,Matched to the live Italian version of the current taxes guide.
https://www.blancareal.com/legal-information-on-illegal-occupation-in-spain/,https://blancareal.com/en/post/legal-information-illegal-occupation-spain/,301,ready_to_launch,Validated against a live route in the new site.
https://www.blancareal.com/property/3-bedroom-apartment-beachfront-fuengirola/,https://blancareal.com/en/property/3-bedroom-apartment-paseo-maritimo-fuengirola/,301,ready_to_launch,Preserved existing candidate from previous pass. Legacy property slug mapped through explicit alias (3-bedroom-apartment-paseo-maritimo-fuengirola).
https://www.blancareal.com/property/3-bedrooms-penthouse-las-lagunas-mijas/,https://blancareal.com/en/property/3-bedroom-penthouse-las-lagunas-de-mijas/,301,ready_to_launch,Preserved existing candidate from previous pass. Legacy property slug mapped through explicit alias (3-bedroom-penthouse-las-lagunas-de-mijas).
https://www.blancareal.com/property/3-story-family-home-fuengirola/,https://blancareal.com/en/properties/,301,ready_with_accepted_fallback,No strong property-level match found. Closest safe fallback is the general properties catalogue.
https://www.blancareal.com/property/almitak-offplan-apartments-and-penthouses-mijas-costa/,https://blancareal.com/en/projects/,301,ready_with_accepted_fallback,Top candidates are close (34 vs 34). Old URL looks closer to a promotion/new-build/project cluster than to a stable like-for-like property detail.
https://www.blancareal.com/property/amazing-duplex-penthouse-fuengirola/,https://blancareal.com/en/property/4-bedroom-duplex-penthouse-fuengirola/,301,ready_to_launch,Preserved existing candidate from previous pass. Legacy property slug mapped through explicit alias (4-bedroom-duplex-penthouse-fuengirola).
https://www.blancareal.com/property/beautiful-modern-1st-floor-apartment-las-lagunas-de-mijas/,https://blancareal.com/en/properties/,301,ready_with_accepted_fallback,Top candidates are close (42 vs 34). Closest safe fallback is the general properties catalogue.
https://www.blancareal.com/property/bright-apartment-san-pedro-de-alcantara/,https://blancareal.com/en/property/apartment-san-pedro-de-alcantara/,301,ready_to_launch,No bedroom count inferred from old URL/title; candidate was chosen on non-bedroom signals.
https://www.blancareal.com/property/exclusive-luxury-villa-san-pedro-alcantara/,https://blancareal.com/en/properties/,301,ready_with_accepted_fallback,No bedroom count inferred from old URL/title; candidate was chosen on non-bedroom signals. Closest safe fallback is the general properties catalogue.
https://www.blancareal.com/property/new-townhouses-san-pedro-de-alcantara/,https://blancareal.com/en/property/townhouses-san-pedro-de-alcantara/,301,ready_to_launch,Preserved existing candidate from previous pass. No bedroom count inferred from old URL/title; candidate was chosen on non-bedroom signals. Legacy property slug mapped through explicit alias (townhouses-san-pedro-de-alcantara).
https://www.blancareal.com/property/piso-1a-planta-avenida-carlos-haya-malaga/,https://blancareal.com/en/property/1-bedroom-apartment-carlos-haya-malaga/,301,ready_to_launch,Preserved existing candidate from previous pass. Legacy property slug mapped through explicit alias (1-bedroom-apartment-carlos-haya-malaga).
https://www.blancareal.com/property/plot-for-sale-mijas-costa/,https://blancareal.com/en/properties/,301,ready_with_accepted_fallback,No strong property-level match found. Closest safe fallback is the general properties catalogue.
https://www.blancareal.com/rentals/,https://blancareal.com/en/contact/,301,ready_with_accepted_fallback,fallback chosen manually during migration planning; create a more specific landing later if needed
https://www.blancareal.com/services/,https://blancareal.com/en/contact/,301,ready_with_accepted_fallback,fallback chosen manually during migration planning; create a more specific landing later if needed
https://www.blancareal.com/taxes-pay-costa-del-sol-property/,https://blancareal.com/en/post/taxes-pay-costa-del-sol-property/,301,ready_to_launch,Validated against a live route in the new site.
https://www.blancareal.com/vacation/,https://blancareal.com/en/contact/,301,ready_with_accepted_fallback,fallback chosen manually during migration planning; create a more specific landing later if needed
https://www.blancareal.com/we-sell-your-home-professional-mediation-with-in-house-legal-services-and-marketing/,https://blancareal.com/en/post/sell-your-home-blancareal/,301,ready_to_launch,Validated against a live route in the new site.
https://www.blancareal.com/why-buy-house-malaga-with-agency/,https://blancareal.com/en/post/why-buy-house-malaga-with-agency/,301,ready_to_launch,Validated against a live route in the new site.
