old_url,old_title,old_type,old_language,old_inlinks,new_url_candidate,match_confidence,priority_reason,manual_review_required
https://www.blancareal.com/,BlancaReal: Luxury Properties on the Costa del Sol 🏡☀️,home,en,145,https://blancareal.com/en/,high,Core homepage migration candidate.,no
https://www.blancareal.com/blog/,Blog | BlancaReal,blog_index,en,157,https://blancareal.com/en/posts/,high,Editorial index with clear migration relevance.,no
https://www.blancareal.com/our-developments/,Our Developments | BlancaReal,service_page,en,141,https://blancareal.com/en/projects/,high,Core service or transactional page.,no
https://www.blancareal.com/contact/,Contact | BlancaReal,service_page,en,141,https://blancareal.com/en/contact/,high,Core service or transactional page.,no
https://www.blancareal.com/faqs/,FAQs | BlancaReal,service_page,en,141,,,Core service or transactional page.,yes
https://www.blancareal.com/new-construction/,New construction | BlancaReal,service_page,en,141,,,Core service or transactional page.,yes
https://www.blancareal.com/services/,Services | BlancaReal,service_page,en,141,,,Core service or transactional page.,yes
https://www.blancareal.com/luxury-villas/,Luxury villas | BlancaReal,service_page,en,141,,,Core service or transactional page.,yes
https://www.blancareal.com/second-hand/,Second hand | BlancaReal,service_page,en,141,,,Core service or transactional page.,yes
https://www.blancareal.com/we-sell-your-home-professional-mediation-with-in-house-legal-services-and-marketing/,We sell your home! Professional mediation with in-house legal services and marketing | BlancaReal,other,en,33,https://blancareal.com/en/post/sell-your-home-blancareal/,high,Informational or business page that should be reviewed early.,no
https://www.blancareal.com/how-can-i-legally-rent-my-property-to-tourists-in-andalusia/,How can I legally rent my property to tourists in Andalusia? | BlancaReal,other,en,33,https://blancareal.com/en/post/rent-your-home-to-tourists-andalucia/,high,Informational or business page that should be reviewed early.,no
https://www.blancareal.com/legal-information-on-illegal-occupation-in-spain/,LEGAL INFORMATION ON ILLEGAL OCCUPATION IN SPAIN | BlancaReal,other,en,30,https://blancareal.com/en/post/legal-information-illegal-occupation-spain/,high,Informational or business page that should be reviewed early.,no
https://www.blancareal.com/trade-war-us-costa-del-sol-europe-international/,How Will the Trump’s Tariffs Affect the Property Market in Spain and the Costa del Sol? | BlancaReal,other,en,30,,,Informational or business page that should be reviewed early.,yes
https://www.blancareal.com/taxes-pay-costa-del-sol-property/,Which taxes do i need to pay for a Costa del Sol property?,other,en,15,https://blancareal.com/en/post/taxes-pay-costa-del-sol-property/,high,Informational or business page that should be reviewed early.,no
https://www.blancareal.com/dorronsoro-architeture-firm-behind-calahonda-sunset/,DORRONSORO: ARQUITECTURE FIRM BEHIND CALAHONDA SUNSET | BlancaReal,other,en,3,https://blancareal.com/en/post/dorronsoro-architects-behind-calahonda-sunset/,high,Informational or business page that should be reviewed early.,no
https://www.blancareal.com/blanca-real-continues-to-support-malaga-expo-2027/,BLANCA REAL CONTINUES TO SUPPORT MALAGA EXPO 2027 | BlancaReal,other,en,2,,,Informational or business page that should be reviewed early.,yes
https://www.blancareal.com/who-pays-real-estate-commission-fees-in-spain/,Who Pays Real Estate Commission Fees in Spain? | BlancaReal,other,en,2,,,Informational or business page that should be reviewed early.,yes
https://www.blancareal.com/why-buy-house-malaga-with-agency/,Why buy a house in Malaga with a real estate agency?,other,en,1,https://blancareal.com/en/post/why-buy-house-malaga-with-agency/,high,Informational or business page that should be reviewed early.,no
https://www.blancareal.com/style-properties-costa-del-sol/,The minimalist style of the Costa del Sol properties.,other,en,2,,,Informational or business page that should be reviewed early.,yes
https://www.blancareal.com/vacation/,Vacation | BlancaReal,service_page,en,0,,,Core service or transactional page.,yes
https://www.blancareal.com/es/que-conlleva-obtener-hoy-el-certificado-a-en-viviendas/,¿Qué conlleva obtener hoy el certificado A en viviendas? | BlancaReal,other,es,0,,,Relevant multilingual informational or commercial page.,yes
https://www.blancareal.com/property-search/,Property search | BlancaReal,service_page,en,0,https://blancareal.com/en/properties/,high,Core service or transactional page.,no
https://www.blancareal.com/5-reasons-invest-costa-del-sol-given-instability-middle-east/,5 reasons to invest on the Costa del Sol amid instability in the Middle East,other,en,33,https://blancareal.com/en/post/5-reasons-invest-costa-del-sol-given-instability-middle-east/,high,Informational or business page that should be reviewed early.,no
https://www.blancareal.com/es/blog/,Blog | BlancaReal,blog_index,es,21,https://blancareal.com/es/posts/,high,Editorial index with clear migration relevance.,no
https://www.blancareal.com/de/blog/,Blog | BlancaReal,blog_index,de,15,https://blancareal.com/de/posts/,high,Editorial index with clear migration relevance.,no
https://www.blancareal.com/nl/bloggen/,Bloggen | BlancaReal,blog_index,nl,15,https://blancareal.com/nl/posts/,high,Editorial index with clear migration relevance.,no
https://www.blancareal.com/fr/blog/,Blog | BlancaReal,blog_index,fr,15,https://blancareal.com/fr/posts/,high,Editorial index with clear migration relevance.,no
https://www.blancareal.com/it/blog/,Blog | BlancaReal,blog_index,it,15,https://blancareal.com/it/posts/,high,Editorial index with clear migration relevance.,no
https://www.blancareal.com/blancareal-and-resimo-innovative-real-estate-experience-on-the-costa-del-sol/,BLANCAREAL AND RESIMO: INNOVATIVE REAL ESTATE EXPERIENCE ON THE COSTA DEL SOL | BlancaReal,other,en,4,,,Informational or business page that should be reviewed early.,yes
https://www.blancareal.com/de/steuern-haus-kaufen-spanien/,Welche Steuern muss ich für den Kauf einer Immobilie in Spanien bezahlen?,other,de,8,,,Relevant multilingual informational or commercial page.,yes
https://www.blancareal.com/it/tasse-comprare-casa-in-spagna/,Quali tasse devo pagare per comprare casa in Spagna?,other,it,8,,,Relevant multilingual informational or commercial page.,yes
https://www.blancareal.com/es/gastos-comprar-piso-en-malaga/,¿Qué gastos necesito pagar para comprar piso en Málaga?,other,es,8,,,Relevant multilingual informational or commercial page.,yes
https://www.blancareal.com/fr/impots-achat-maison-en-espagne/,Quels son les impôts à payer à l’achat d’une maison en espagne?,other,fr,8,,,Relevant multilingual informational or commercial page.,yes
https://www.blancareal.com/rentals/,Villas and flats for rent in Malaga and province | BlancaReal,service_page,en,0,,,Core service or transactional page.,yes
