old_url,old_title,old_type,old_language,old_inlinks,keep_candidate,new_url_candidate,match_confidence,priority_reason,manual_review_required
https://www.blancareal.com/,BlancaReal: Luxury Properties on the Costa del Sol 🏡☀️,home,en,145,yes,https://blancareal.com/en/,high,Core homepage migration candidate.,no
https://www.blancareal.com/blog/,Blog | BlancaReal,blog_index,en,157,yes,https://blancareal.com/en/posts/,high,Editorial index with clear migration relevance.,no
https://www.blancareal.com/our-developments/,Our Developments | BlancaReal,service_page,en,141,yes,https://blancareal.com/en/projects/,high,Core service or transactional page.,no
https://www.blancareal.com/contact/,Contact | BlancaReal,service_page,en,141,yes,https://blancareal.com/en/contact/,high,Core service or transactional page.,no
https://www.blancareal.com/faqs/,FAQs | BlancaReal,service_page,en,141,yes,,,Core service or transactional page.,yes
https://www.blancareal.com/new-construction/,New construction | BlancaReal,service_page,en,141,yes,,,Core service or transactional page.,yes
https://www.blancareal.com/services/,Services | BlancaReal,service_page,en,141,yes,,,Core service or transactional page.,yes
https://www.blancareal.com/luxury-villas/,Luxury villas | BlancaReal,service_page,en,141,yes,,,Core service or transactional page.,yes
https://www.blancareal.com/second-hand/,Second hand | BlancaReal,service_page,en,141,yes,,,Core service or transactional page.,yes
https://www.blancareal.com/we-sell-your-home-professional-mediation-with-in-house-legal-services-and-marketing/,We sell your home! Professional mediation with in-house legal services and marketing | BlancaReal,other,en,33,yes,https://blancareal.com/en/post/sell-your-home-blancareal/,high,Informational or business page that should be reviewed early.,no
https://www.blancareal.com/property/sea-view-penthouse-arenal-golf-double-parking-storage/,Exterior Home with Sea Views in Arenal Golf – Double Parking & Storage Room | BlancaReal,property,en,35,yes,,,Property with stronger internal-link signal in the old site.,yes
https://www.blancareal.com/how-can-i-legally-rent-my-property-to-tourists-in-andalusia/,How can I legally rent my property to tourists in Andalusia? | BlancaReal,other,en,33,yes,https://blancareal.com/en/post/rent-your-home-to-tourists-andalucia/,high,Informational or business page that should be reviewed early.,no
https://www.blancareal.com/legal-information-on-illegal-occupation-in-spain/,LEGAL INFORMATION ON ILLEGAL OCCUPATION IN SPAIN | BlancaReal,other,en,30,yes,https://blancareal.com/en/post/legal-information-illegal-occupation-spain/,high,Informational or business page that should be reviewed early.,no
https://www.blancareal.com/property/newly-built-luxury-appartment-costa-del-sol/,NEWLY BUILT LUXURY APPARTMENT COSTA DEL SOL | BlancaReal,property,en,26,yes,,,Property with stronger internal-link signal in the old site.,yes
https://www.blancareal.com/trade-war-us-costa-del-sol-europe-international/,How Will the Trump’s Tariffs Affect the Property Market in Spain and the Costa del Sol? | BlancaReal,other,en,30,yes,,,Informational or business page that should be reviewed early.,yes
