old_url,target_url,redirect_type,reason,status,notes
https://www.blancareal.com/,https://blancareal.com/es/,301,Adjusted to the live canonical Spanish homepage.,approved,Updated during VPS cutover once the public homepage was confirmed as /es/.
https://www.blancareal.com/blog/,https://blancareal.com/en/posts/,301,Confirmed equivalent live destination.,approved,Validated against a live route in the new site.
https://www.blancareal.com/our-developments/,https://blancareal.com/en/projects/,301,Confirmed equivalent live destination.,approved,Validated against a live route in the new site.
https://www.blancareal.com/contact/,https://blancareal.com/en/contact/,301,Confirmed equivalent live destination.,approved,Validated against a live route in the new site.
https://www.blancareal.com/faqs/,,301,No clearly equivalent live section was confirmed.,needs_content_creation,No live equivalent was confirmed; this service or section needs a manual destination choice.
https://www.blancareal.com/new-construction/,https://blancareal.com/en/projects/,301,"No like-for-like page exists, but the live projects section is the closest section-level equivalent for new-construction intent.",approved_section_fallback,No live equivalent was confirmed; this service or section needs a manual destination choice.
https://www.blancareal.com/services/,,301,No clearly equivalent live section was confirmed.,needs_content_creation,No live equivalent was confirmed; this service or section needs a manual destination choice.
https://www.blancareal.com/luxury-villas/,,301,No clearly equivalent live section was confirmed.,needs_content_creation,No live equivalent was confirmed; this service or section needs a manual destination choice.
https://www.blancareal.com/second-hand/,,301,No clearly equivalent live section was confirmed.,needs_content_creation,No live equivalent was confirmed; this service or section needs a manual destination choice.
https://www.blancareal.com/we-sell-your-home-professional-mediation-with-in-house-legal-services-and-marketing/,https://blancareal.com/en/post/sell-your-home-blancareal/,301,Confirmed equivalent live destination.,approved,Validated against a live route in the new site.
https://www.blancareal.com/how-can-i-legally-rent-my-property-to-tourists-in-andalusia/,https://blancareal.com/en/post/rent-your-home-to-tourists-andalucia/,301,Confirmed equivalent live destination.,approved,Validated against a live route in the new site.
https://www.blancareal.com/legal-information-on-illegal-occupation-in-spain/,https://blancareal.com/en/post/legal-information-illegal-occupation-spain/,301,Confirmed equivalent live destination.,approved,Validated against a live route in the new site.
https://www.blancareal.com/trade-war-us-costa-del-sol-europe-international/,https://blancareal.com/en/posts/,301,No live article equivalent exists; fallback to the live editorial index for the same language.,approved_section_fallback,No live equivalent was confirmed in the current new-site routes.
