old_url,old_title,old_type,old_language,old_status,keep_candidate,suggested_action,notes
https://www.blancareal.com/category/real-estate-news/,Real Estate News archivos | BlancaReal,category,en,200,maybe,consolidate,
https://www.blancareal.com/category/uncategorized/,Uncategorized archivos | BlancaReal,category,en,200,maybe,consolidate,
https://www.blancareal.com/category/real-estate-6/,Real Estate archivos | BlancaReal,category,en,200,maybe,consolidate,
https://www.blancareal.com/category/new-develpments/,New develpments archivos | BlancaReal,category,en,200,maybe,consolidate,
https://www.blancareal.com/category/arquitecture-and-design/,Arquitecture and Design archivos | BlancaReal,category,en,200,maybe,consolidate,
https://www.blancareal.com/category/partners/,Partners archivos | BlancaReal,category,en,200,maybe,consolidate,
https://www.blancareal.com/home/,BlancaReal: Luxury Properties on the Costa del Sol 🏡☀️,home,en,200,no,redirect_to_canonical,Obvious duplicate of /. Legacy home alias. Canonical legacy counterpart: /.
https://www.blancareal.com/about-us/,About us | BlancaReal,service_page,en,200,no,review_manually,"Has obvious duplicate alias(es): https://www.blancareal.com/about-us-2/. Legacy about page. Kept in the master for audit completeness, not as a primary migration candidate."
https://blancareal.com/,BlancaReal: Luxury Properties on the Costa del Sol 🏡☀️,home,en,200,no,review_manually,"Has obvious duplicate alias(es): https://www.blancareal.com/home/. Legacy root home. Kept in the master for audit completeness, not as a primary migration candidate."
https://www.blancareal.com/property/new-build-3-beds-penthouse-fuengirola-costa-del-sol/,"NEW BUILD 3 BEDS PENTHOUSE FUENGIROLA, COSTA DEL SOL | BlancaReal",property,en,200,no,review_manually,"Kept in the master for audit completeness, not as a primary migration candidate."
https://www.blancareal.com/property/house-for-sale-in-nagueles-marbella/,EXCELENT VILLA IN MARBELLA | BlancaReal,property,en,200,no,review_manually,"Kept in the master for audit completeness, not as a primary migration candidate."
https://www.blancareal.com/property/plot-with-luxury-villa-project-close-to-marbella/,PLOT WITH LUXURY VILLA PROJECT CLOSE TO MARBELLA | BlancaReal,property,en,200,no,review_manually,"Kept in the master for audit completeness, not as a primary migration candidate."
https://www.blancareal.com/property/new-houses-for-sale-in-fuengirola/,"Condesa Hills: new residential complex near Sohail Castle, Fuengirola",property,en,200,no,review_manually,"Kept in the master for audit completeness, not as a primary migration candidate."
https://www.blancareal.com/blog/page/3/,Blog | Page 3 of 5 | BlancaReal,blog_pagination,en,200,maybe,consolidate,
https://www.blancareal.com/property/,Properties archivo | BlancaReal,property,en,200,no,review_manually,"Legacy property archive root. Kept in the master for audit completeness, not as a primary migration candidate."
https://www.blancareal.com/blog/page/2/,Blog | Page 2 of 5 | BlancaReal,blog_pagination,en,200,maybe,consolidate,
https://www.blancareal.com/blog/page/4/,Blog | Page 4 of 5 | BlancaReal,blog_pagination,en,200,maybe,consolidate,
https://www.blancareal.com/blog/page/5/,Blog | Page 5 of 5 | BlancaReal,blog_pagination,en,200,maybe,consolidate,
https://www.blancareal.com/tag/taxes/,taxes archivos | BlancaReal,tag,en,200,maybe,consolidate,
https://www.blancareal.com/contact-blancareal-costadel-sol/,Contact | BlancaReal,service_page,en,200,no,redirect_to_canonical,Obvious duplicate of /contact/. Legacy contact alias. Canonical legacy counterpart: /contact/.
https://www.blancareal.com/our-developments-2/,Our Developments | BlancaReal,service_page,en,200,no,redirect_to_canonical,Obvious duplicate of /our-developments/. Legacy duplicate developments index. Canonical legacy counterpart: /our-developments/.
https://www.blancareal.com/about-us-2/,About us | BlancaReal,service_page,en,200,no,redirect_to_canonical,Obvious duplicate of /about-us/. Legacy duplicate about page. Canonical legacy counterpart: /about-us/.
https://www.blancareal.com/rentals-2/,Villas and flats for rent in Malaga and province | BlancaReal,service_page,en,200,no,redirect_to_canonical,Obvious duplicate of /rentals/. Canonical legacy counterpart: /rentals/.
https://www.blancareal.com/second-hand-2/,Second hand | BlancaReal,service_page,en,200,no,redirect_to_canonical,Obvious duplicate of /second-hand/. Canonical legacy counterpart: /second-hand/.
https://www.blancareal.com/privacy-policy/,Privacy policy | BlancaReal,legal,en,200,no,legal_keep_noindex,Legal URLs stay in the master for completeness but are not priority keep candidates.
https://www.blancareal.com/cookies-policy/,Cookies policy | BlancaReal,legal,en,200,no,legal_keep_noindex,Legal URLs stay in the master for completeness but are not priority keep candidates.
https://www.blancareal.com/legal-notice/,Legal notice | BlancaReal,legal,en,200,no,legal_keep_noindex,Legal URLs stay in the master for completeness but are not priority keep candidates.
https://www.blancareal.com/es/,,language_variant,es,301,no,ignore_legacy_404,Has obvious duplicate alias(es): https://www.blancareal.com/home/. Included in the starter master even though it is not a live content page.
https://www.blancareal.com/property/stilvolle-villa-mit-meerblick-in-marbella-este-costa-del-sol/,Stilvolle Villa mit Meerblick in Marbella Este Costa del Sol | BlancaReal,property,en,200,no,review_manually,"Kept in the master for audit completeness, not as a primary migration candidate."
https://www.blancareal.com/property/plots-for-sale-mijas/,Plots for sale near the castle of Fuengirola | BlancaReal,property,en,200,no,review_manually,"Kept in the master for audit completeness, not as a primary migration candidate."
https://www.blancareal.com/property/pisos-en-venta-12-o-3-hab-con-vistas-al-mar-mijas/,"PISOS EN VENTA 1,2 O 3 HAB CON VISTAS AL MAR | MIJAS | BlancaReal",property,en,200,no,review_manually,"Kept in the master for audit completeness, not as a primary migration candidate."
https://www.blancareal.com/?post_type=property&p=311475,,property,en,404,no,ignore_legacy_404,Has obvious duplicate alias(es): https://www.blancareal.com/home/. Included in the starter master because migration QA still needs visibility on legacy errors.
https://www.blancareal.com/?post_type=property&p=311254,,property,en,404,no,ignore_legacy_404,Has obvious duplicate alias(es): https://www.blancareal.com/home/. Included in the starter master because migration QA still needs visibility on legacy errors.
https://www.blancareal.com/?post_type=property&p=310529,,property,en,404,no,ignore_legacy_404,Has obvious duplicate alias(es): https://www.blancareal.com/home/. Included in the starter master because migration QA still needs visibility on legacy errors.
https://www.blancareal.com/new-partner-for-new-develpments-in-costa-del-sol/,NEW PARTNER FOR NEW DEVELPMENTS IN COSTA DEL SOL | BlancaReal,other,en,200,no,review_manually,"Kept in the master for audit completeness, not as a primary migration candidate."
https://www.blancareal.com/property/houses-for-sale-malaga/,"Penhouses Malaga, Costa del Sol | BlancaReal",property,en,200,no,review_manually,"Kept in the master for audit completeness, not as a primary migration candidate."
