old_url,target_url,redirect_type,source,confidence,status,notes
http://www.blancareal.com/,https://blancareal.com/en/,301,gsc_missing,high,proposed_from_gsc_missing,"Legacy URL is a language home variant and maps to the equivalent language homepage. GSC signal: 0 clicks, 52 impressions."
https://blancahills.blancareal.com/,https://blancareal.com/en/projects/,301,gsc_missing,medium,proposed_from_gsc_missing,"Legacy URL belongs to a project microsite, so the closest safe section is the projects index. GSC signal: 26 clicks, 2535 impressions. Project microsite URL."
https://condesahills.blancareal.com/,https://blancareal.com/en/projects/,301,gsc_missing,medium,proposed_from_gsc_missing,"Legacy URL belongs to a project microsite, so the closest safe section is the projects index. GSC signal: 96 clicks, 1152 impressions. Project microsite URL."
https://condesahills.blancareal.com/de/,https://blancareal.com/de/projects/,301,gsc_missing,medium,proposed_from_gsc_missing,"Legacy URL belongs to a project microsite, so the closest safe section is the projects index. GSC signal: 4 clicks, 56 impressions. Project microsite URL."
https://condesahills.blancareal.com/en/,https://blancareal.com/en/projects/,301,gsc_missing,medium,proposed_from_gsc_missing,"Legacy URL belongs to a project microsite, so the closest safe section is the projects index. GSC signal: 47 clicks, 978 impressions. Project microsite URL."
https://condesahills.blancareal.com/es/,https://blancareal.com/es/projects/,301,gsc_missing,medium,proposed_from_gsc_missing,"Legacy URL belongs to a project microsite, so the closest safe section is the projects index. GSC signal: 40 clicks, 541 impressions. Project microsite URL."
https://condesahills.blancareal.com/es/galeria/,https://blancareal.com/es/projects/,301,gsc_missing,medium,proposed_from_gsc_missing,"Legacy URL belongs to a project microsite, so the closest safe section is the projects index. GSC signal: 2 clicks, 377 impressions. Project microsite URL."
https://condesahills.blancareal.com/es/proceso-de-compra/,https://blancareal.com/es/projects/,301,gsc_missing,medium,proposed_from_gsc_missing,"Legacy URL belongs to a project microsite, so the closest safe section is the projects index. GSC signal: 0 clicks, 94 impressions. Project microsite URL."
https://condesahills.blancareal.com/fr/,https://blancareal.com/fr/projects/,301,gsc_missing,medium,proposed_from_gsc_missing,"Legacy URL belongs to a project microsite, so the closest safe section is the projects index. GSC signal: 2 clicks, 128 impressions. Project microsite URL."
https://www.blancareal.com/,https://blancareal.com/en/,301,core,high,approved,Validated against a live route in the new site.
https://www.blancareal.com/5-reasons-invest-costa-del-sol-given-instability-middle-east/,https://blancareal.com/en/post/5-reasons-invest-costa-del-sol-given-instability-middle-east/,301,core,high,approved,Validated against a live route in the new site.
https://www.blancareal.com/about-us/,https://blancareal.com/en/about/,301,gsc_missing,high,proposed_from_gsc_missing,"Legacy URL is an about page variant and maps to the real about section for the same language. GSC signal: 30 clicks, 1507 impressions."
https://www.blancareal.com/advantages-sustainable-house/,https://blancareal.com/en/posts/,301,core,medium,approved_section_fallback,No live equivalent was confirmed in the current new-site routes.
https://www.blancareal.com/agente/blanca-real/,https://blancareal.com/en/agents/,301,gsc_missing,medium,proposed_from_gsc_missing,"Legacy URL belongs to an agent section; the live agents index is the closest validated section-level target. GSC signal: 5 clicks, 265 impressions. Agent detail was not mapped to a specific profile in this pass."
https://www.blancareal.com/agente/marcelo-navarro/,https://blancareal.com/en/agents/,301,gsc_missing,medium,proposed_from_gsc_missing,"Legacy URL belongs to an agent section; the live agents index is the closest validated section-level target. GSC signal: 14 clicks, 110 impressions. Agent detail was not mapped to a specific profile in this pass."
https://www.blancareal.com/blanca-real-continues-to-support-malaga-expo-2027/,https://blancareal.com/en/posts/,301,core,medium,approved_section_fallback,No live equivalent was confirmed in the current new-site routes.
https://www.blancareal.com/blancareal-and-resimo-innovative-real-estate-experience-on-the-costa-del-sol/,https://blancareal.com/en/posts/,301,core,medium,approved_section_fallback,No live equivalent was confirmed in the current new-site routes.
